typeOfChannel,delta,channelCoefficients,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.970000,0.132283, 0.959250,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.967500,0.143490, 0.957500,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.965000,0.154727, 0.968750,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.962500,0.165993, 0.962500,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.960000,0.177288, 0.966125,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.957500,0.188612, 0.968375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.955000,0.199966, 0.963875,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.952500,0.211350, 0.965625,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.950000,0.222764, 0.937250,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.947500,0.234208, 0.962375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.945000,0.245682, 0.959875,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.942500,0.257186, 0.966000,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.940000,0.268721, 0.953375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.937500,0.280287, 0.966375,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.935000,0.291884, 0.959500,1.000000
h(i) = h(j),20.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.932500,0.303512, 0.964125,1.000000
