typeOfChannel,delta,channelCoefficients,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.187500,7.269987, 0.938125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.185000,7.328283, 0.934375,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.182500,7.387371, 0.931000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.180000,7.447275, 0.935875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.177500,7.508016, 0.928000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.175000,7.569620, 0.932750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.172500,7.632109, 0.938000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.170000,7.695511, 0.927125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.167500,7.759852, 0.922625,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.165000,7.825161, 0.918500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.162500,7.891466, 0.928500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.160000,7.958800, 0.915375,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.157500,8.027194, 0.922875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.155000,8.096683, 0.925250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.152500,8.167302, 0.919625,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.150000,8.239087, 0.919875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.147500,8.312080, 0.911250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.145000,8.386320, 0.904000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.142500,8.461851, 0.911500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.140000,8.538720, 0.911000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.137500,8.616973, 0.907125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.135000,8.696662, 0.897875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.132500,8.777841, 0.892875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.130000,8.860566, 0.897750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.127500,8.944898, 0.896125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.125000,9.030900, 0.887125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.122500,9.118639, 0.886625,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.120000,9.208188, 0.874625,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.117500,9.299621, 0.876125,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.115000,9.393022, 0.878250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.112500,9.488475, 0.875750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.110000,9.586073, 0.883750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.107500,9.685915, 0.860500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.105000,9.788107, 0.866000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.102500,9.892761, 0.853875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.100000,10.000000, 0.861500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.097500,10.109954, 0.849875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.095000,10.222764, 0.858750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.092500,10.338583, 0.845000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.090000,10.457575, 0.839250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.087500,10.579919, 0.839500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.085000,10.705811, 0.830875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.082500,10.835461, 0.836500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.080000,10.969100, 0.824500,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.077500,11.106983, 0.820750,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.075000,11.249387, 0.815375,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.072500,11.396620, 0.808000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.070000,11.549020, 0.809875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.067500,11.706962, 0.802625,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.065000,11.870866, 0.787250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.062500,12.041200, 0.785250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.060000,12.218487, 0.779000,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.057500,12.403322, 0.769875,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.055000,12.596373, 0.776250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.052500,12.798407, 0.764250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.050000,13.010300, 0.763250,1.000000
h(i) = h(j),30.000000,0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 0.156174 ,0.047500,13.233064, 0.754000,1.000000
